LINE, REF, QTY, EPCCS TYP, EPCCS PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,OneShot Board,,,TOTAL,
,,,,,,2/15/19 (15214^2),,,=SUM(J5:J100),
,,,,,,,,,,
1,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),2.75,=C5*I5,ONESHOT
,,,,,,,,,,
,,,,,,NOTES,,,,


